Tribunal,Competencia,Causa,Fecha/Hora,Estado Remate
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-2081-2025,01/09/2026 12:00,Agendado
1º JUZGADO CIVIL DE TALCAHUANO,Civil,C-1730-2023,01/09/2026 12:00,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-5358-2025,01/09/2026 11:30,Agendado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-4191-2024,01/09/2026 11:00,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-5551-2024,01/09/2026 11:00,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-5919-2022,01/09/2026 10:00,Agendado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-2046-2025,28/08/2026 12:30,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-6104-2019,28/08/2026 12:00,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-8016-2023,28/08/2026 11:30,Agendado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-4114-2025,28/08/2026 11:15,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-4556-2024,28/08/2026 11:00,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-2766-2019,28/08/2026 10:30,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-3251-2019,28/08/2026 10:00,Agendado
1º JUZGADO CIVIL DE CONCEPCION,Civil,C-3163-2023,28/08/2026 10:00,Reprogramado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-412-2025,28/08/2026 09:45,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-8972-2024,28/08/2026 09:30,Reprogramado
1º JUZGADO CIVIL DE CONCEPCION,Civil,C-3322-2023,28/08/2026 09:30,Reprogramado
3º JUZGADO CIVIL DE CONCEPCION,Civil,C-6297-2023,28/08/2026 09:00,Agendado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-272-2024,27/08/2026 12:00,Reprogramado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-2259-2024,27/08/2026 11:30,Agendado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-278-2026,26/08/2026 12:30,Agendado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-75-2026,26/08/2026 12:30,Agendado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-4147-2024,26/08/2026 12:00,Reprogramado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-9-2020,26/08/2026 12:00,Reprogramado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-1445-2024,26/08/2026 11:30,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-2205-2022,26/08/2026 10:00,Reprogramado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1391-2025,26/08/2026 10:00,Reprogramado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-3175-2025,25/08/2026 12:30,Agendado
1º JUZGADO CIVIL DE TALCAHUANO,Civil,C-2950-2016,25/08/2026 12:00,Reprogramado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-301-2026,25/08/2026 12:00,Agendado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-1939-2025,25/08/2026 12:00,Agendado
2º JUZGADO CIVIL DE TALCAHUANO,Civil,C-3408-2025,25/08/2026 11:30,Agendado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-1679-2019,25/08/2026 11:30,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-463-2023,25/08/2026 11:00,Agendado
1º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-739-2025,25/08/2026 11:00,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-2014-2024,25/08/2026 10:30,Reprogramado
2º JUZGADO CIVIL DE CONCEPCION,Civil,C-926-2026,25/08/2026 10:00,Agendado
2º JUZGADO DE LETRAS DE LOS ANGELES,Civil,C-283-2020,24/08/2026 12:00,Agendado
JUZGADO DE LETRAS Y GARANTIA DE CURANILAHUE,Civil,C-79-2026,24/08/2026 10:00,Agendado
